ID	
15	 33	0.48824604
15	 34	0.48824604
16	 1	0.47112794
16	 2	0.454481
16	 3	0
16	 4	0
16	 5	0
16	 6	0
16	 7	0
16	 8	0
16	 9	0
16	 10	0
16	 11	0
16	 12	0
16	 13	0
16	 14	0
16	 15	0
16	 16	0
16	 17	0
16	 18	0
16	 19	0.66551144
16	 20	0.47991188
16	 21	0.47991188
16	 22	0.47991188
16	 23	0.47991188
16	 24	0.47991188
16	 25	0.47991188
16	 26	0.47991188
16	 27	0.47991188
16	 28	0.48824604
16	 29	0.48824604
16	 30	0.48824604
16	 31	0.48824604
16	 32	0.48824604
16	 33	0.48824604
16	 34	0.48824604
17	 1	0.47112794
17	 2	0.454481
17	 3	0
17	 4	0
17	 5	0
17	 6	0
17	 7	0
17	 8	0
17	 9	0
17	 10	0
17	 11	0
17	 12	0
17	 13	0
17	 14	0
17	 15	0
17	 16	0
17	 17	0
17	 18	0
17	 19	0.66551144
17	 20	0.47991188
17	 21	0.47991188
17	 22	0.47991188
17	 23	0.47991188
17	 24	0.47991188
17	 25	0.47991188
17	 26	0.47991188
17	 27	0.47991188
17	 28	0.48824604
17	 29	0.48824604
17	 30	0.48824604
17	 31	0.48824604
17	 32	0.48824604
17	 33	0.48824604
17	 34	0.48824604
18	 1	0.47112794
18	 2	0.454481
18	 3	0
18	 4	0
18	 5	0
18	 6	0
18	 7	0
18	 8	0
18	 9	0
18	 10	0
18	 11	0
18	 12	0
18	 13	0
18	 14	0
18	 15	0
18	 16	0
18	 17	0
18	 18	0
18	 19	0.66551144
18	 20	0.47991188
18	 21	0.47991188
18	 22	0.47991188
18	 23	0.47991188
18	 24	0.47991188
18	 25	0.47991188
18	 26	0.47991188
18	 27	0.47991188
18	 28	0.48824604
18	 29	0.48824604
18	 30	0.48824604
18	 31	0.48824604
18	 32	0.48824604
18	 33	0.48824604
18	 34	0.48824604
19	 1	0.80733101
19	 2	0.1755216
19	 3	0.66551144
19	 4	0.66551144
19	 5	0.66551144
19	 6	0.66551144
19	 7	0.66551144
19	 8	0.66551144
19	 9	0.66551144
19	 10	0.66551144
19	 11	0.66551144
19	 12	0.66551144
19	 13	0.66551144
19	 14	0.66551144
19	 15	0.66551144
19	 16	0.66551144
19	 17	0.66551144
19	 18	0.66551144
19	 19	0
19	 20	0.42092684
19	 21	0.42092684
19	 22	0.42092684
19	 23	0.42092684
19	 24	0.42092684
19	 25	0.42092684
19	 26	0.42092684
19	 27	0.42092684
19	 28	0.44712108
19	 29	0.44712108
19	 30	0.44712108
19	 31	0.44712108
19	 32	0.44712108
19	 33	0.44712108
19	 34	0.44712108
20	 1	0.3475566
20	 2	0.16820082
20	 3	0.47991188
20	 4	0.47991188
20	 5	0.47991188
20	 6	0.47991188
20	 7	0.47991188
20	 8	0.47991188
20	 9	0.47991188
20	 10	0.47991188
20	 11	0.47991188
20	 12	0.47991188
20	 13	0.47991188
20	 14	0.47991188
20	 15	0.47991188
20	 16	0.47991188
20	 17	0.47991188
20	 18	0.47991188
20	 19	0.42092684
20	 20	0
20	 21	0
20	 22	0
20	 23	0
20	 24	0
20	 25	0
20	 26	0
20	 27	0
20	 28	0.47034
20	 29	0.47034
20	 30	0.47034
20	 31	0.47034
20	 32	0.47034
20	 33	0.47034
20	 34	0.47034
21	 1	0.3475566
21	 2	0.16820082
21	 3	0.47991188
21	 4	0.47991188
21	 5	0.47991188
21	 6	0.47991188
21	 7	0.47991188
21	 8	0.47991188
21	 9	0.47991188
21	 10	0.47991188
21	 11	0.47991188
21	 12	0.47991188
21	 13	0.47991188
21	 14	0.47991188
21	 15	0.47991188
21	 16	0.47991188
21	 17	0.47991188
21	 18	0.47991188
21	 19	0.42092684
21	 20	0
21	 21	0
21	 22	0
21	 23	0
21	 24	0
21	 25	0
21	 26	0
21	 27	0
21	 28	0.47034
21	 29	0.47034
21	 30	0.47034
21	 31	0.47034
21	 32	0.47034
21	 33	0.47034
21	 34	0.47034
22	 1	0.3475566
22	 2	0.16820082
22	 3	0.47991188
22	 4	0.47991188
22	 5	0.47991188
22	 6	0.47991188
22	 7	0.47991188
22	 8	0.47991188
22	 9	0.47991188
22	 10	0.47991188
22	 11	0.47991188
22	 12	0.47991188
22	 13	0.47991188
22	 14	0.47991188
22	 15	0.47991188
22	 16	0.47991188
22	 17	0.47991188
22	 18	0.47991188
22	 19	0.42092684
22	 20	0
22	 21	0
22	 22	0
22	 23	0
22	 24	0
22	 25	0
22	 26	0
22	 27	0
22	 28	0.47034
22	 29	0.47034
22	 30	0.47034
22	 31	0.47034
22	 32	0.47034
22	 33	0.47034
22	 34	0.47034
23	 1	0.3475566
23	 2	0.16820082
23	 3	0.47991188
23	 4	0.47991188
23	 5	0.47991188
23	 6	0.47991188
23	 7	0.47991188
23	 8	0.47991188
23	 9	0.47991188
23	 10	0.47991188
23	 11	0.47991188
23	 12	0.47991188
23	 13	0.47991188
23	 14	0.47991188
23	 15	0.47991188
23	 16	0.47991188
23	 17	0.47991188
23	 18	0.47991188
23	 19	0.42092684
23	 20	0
23	 21	0
23	 22	0
23	 23	0
23	 24	0
23	 25	0
23	 26	0
23	 27	0
23	 28	0.47034
23	 29	0.47034
23	 30	0.47034
23	 31	0.47034
23	 32	0.47034
23	 33	0.47034
23	 34	0.47034
24	 1	0.3475566
24	 2	0.16820082
24	 3	0.47991188
24	 4	0.47991188
24	 5	0.47991188
24	 6	0.47991188
24	 7	0.47991188
24	 8	0.47991188
24	 9	0.47991188
24	 10	0.47991188
24	 11	0.47991188
24	 12	0.47991188
24	 13	0.47991188
24	 14	0.47991188
24	 15	0.47991188
24	 16	0.47991188
24	 17	0.47991188
24	 18	0.47991188
24	 19	0.42092684
24	 20	0
24	 21	0
24	 22	0
24	 23	0
24	 24	0
24	 25	0
24	 26	0
24	 27	0
24	 28	0.47034
24	 29	0.47034
24	 30	0.47034
24	 31	0.47034
24	 32	0.47034
24	 33	0.47034
24	 34	0.47034
25	 1	0.3475566
25	 2	0.16820082
25	 3	0.47991188
25	 4	0.47991188
25	 5	0.47991188
25	 6	0.47991188
25	 7	0.47991188
25	 8	0.47991188
25	 9	0.47991188
25	 10	0.47991188
25	 11	0.47991188
25	 12	0.47991188
25	 13	0.47991188
25	 14	0.47991188
25	 15	0.47991188
25	 16	0.47991188
25	 17	0.47991188
25	 18	0.47991188
25	 19	0.42092684
25	 20	0
25	 21	0
25	 22	0
25	 23	0
25	 24	0
25	 25	0
25	 26	0
25	 27	0
25	 28	0.47034
25	 29	0.47034
25	 30	0.47034
25	 31	0.47034
25	 32	0.47034
25	 33	0.47034
25	 34	0.47034
26	 1	0.3475566
26	 2	0.16820082
26	 3	0.47991188
26	 4	0.47991188
26	 5	0.47991188
26	 6	0.47991188
26	 7	0.47991188
26	 8	0.47991188
26	 9	0.47991188
26	 10	0.47991188
26	 11	0.47991188
26	 12	0.47991188
26	 13	0.47991188
26	 14	0.47991188
26	 15	0.47991188
26	 16	0.47991188
26	 17	0.47991188
26	 18	0.47991188
26	 19	0.42092684
26	 20	0
26	 21	0
26	 22	0
26	 23	0
26	 24	0
26	 25	0
26	 26	0
26	 27	0
26	 28	0.47034
26	 29	0.47034
26	 30	0.47034
26	 31	0.47034
26	 32	0.47034
26	 33	0.47034
26	 34	0.47034
27	 1	0.3475566
27	 2	0.16820082
27	 3	0.47991188
27	 4	0.47991188
27	 5	0.47991188
27	 6	0.47991188
27	 7	0.47991188
27	 8	0.47991188
27	 9	0.47991188
27	 10	0.47991188
27	 11	0.47991188
27	 12	0.47991188
27	 13	0.47991188
27	 14	0.47991188
27	 15	0.47991188
27	 16	0.47991188
27	 17	0.47991188
27	 18	0.47991188
27	 19	0.42092684
27	 20	0
27	 21	0
27	 22	0
27	 23	0
27	 24	0
27	 25	0
27	 26	0
27	 27	0
27	 28	0.47034
27	 29	0.47034
27	 30	0.47034
27	 31	0.47034
27	 32	0.47034
27	 33	0.47034
27	 34	0.47034
28	 1	0.4040778
28	 2	0.48368859
28	 3	0.48824604
28	 4	0.48824604
28	 5	0.48824604
28	 6	0.48824604
28	 7	0.48824604
28	 8	0.48824604
28	 9	0.48824604
28	 10	0.48824604
28	 11	0.48824604
28	 12	0.48824604
28	 13	0.48824604
28	 14	0.48824604
28	 15	0.48824604
28	 16	0.48824604
28	 17	0.48824604
28	 18	0.48824604
28	 19	0.44712108
28	 20	0.47034
28	 21	0.47034
28	 22	0.47034
28	 23	0.47034
28	 24	0.47034
28	 25	0.47034
28	 26	0.47034
28	 27	0.47034
28	 28	0
28	 29	0
28	 30	0
28	 31	0
28	 32	0
28	 33	0
28	 34	0
29	 1	0.4040778
29	 2	0.48368859
29	 3	0.48824604
29	 4	0.48824604
29	 5	0.48824604
29	 6	0.48824604
29	 7	0.48824604
29	 8	0.48824604
29	 9	0.48824604
29	 10	0.48824604
29	 11	0.48824604
29	 12	0.48824604
29	 13	0.48824604
29	 14	0.48824604
29	 15	0.48824604
29	 16	0.48824604
29	 17	0.48824604
29	 18	0.48824604
29	 19	0.44712108
29	 20	0.47034
29	 21	0.47034
29	 22	0.47034
29	 23	0.47034
29	 24	0.47034
29	 25	0.47034
29	 26	0.47034
29	 27	0.47034
29	 28	0
29	 29	0
29	 30	0
29	 31	0
29	 32	0
29	 33	0
29	 34	0
30	 1	0.4040778
30	 2	0.48368859
30	 3	0.48824604
30	 4	0.48824604
30	 5	0.48824604
30	 6	0.48824604
30	 7	0.48824604
30	 8	0.48824604
30	 9	0.48824604
30	 10	0.48824604
30	 11	0.48824604
30	 12	0.48824604
30	 13	0.48824604
30	 14	0.48824604
30	 15	0.48824604
30	 16	0.48824604
30	 17	0.48824604
30	 18	0.48824604
30	 19	0.44712108
30	 20	0.47034
30	 21	0.47034
30	 22	0.47034
30	 23	0.47034
30	 24	0.47034
30	 25	0.47034
30	 26	0.47034
30	 27	0.47034
30	 28	0
30	 29	0
30	 30	0
30	 31	0
30	 32	0
30	 33	0
30	 34	0
31	 1	0.4040778
31	 2	0.48368859
31	 3	0.48824604
31	 4	0.48824604
31	 5	0.48824604
31	 6	0.48824604
31	 7	0.48824604
31	 8	0.48824604
31	 9	0.48824604
31	 10	0.48824604
31	 11	0.48824604
31	 12	0.48824604
31	 13	0.48824604
31	 14	0.48824604
31	 15	0.48824604
31	 16	0.48824604
31	 17	0.48824604
31	 18	0.48824604
31	 19	0.44712108
31	 20	0.47034
31	 21	0.47034
31	 22	0.47034
31	 23	0.47034
31	 24	0.47034
31	 25	0.47034
31	 26	0.47034
31	 27	0.47034
31	 28	0
31	 29	0
31	 30	0
31	 31	0
31	 32	0
31	 33	0
31	 34	0
32	 1	0.4040778
32	 2	0.48368859
32	 3	0.48824604
32	 4	0.48824604
32	 5	0.48824604
32	 6	0.48824604
32	 7	0.48824604
32	 8	0.48824604
32	 9	0.48824604
32	 10	0.48824604
32	 11	0.48824604
32	 12	0.48824604
32	 13	0.48824604
32	 14	0.48824604
32	 15	0.48824604
32	 16	0.48824604
32	 17	0.48824604
32	 18	0.48824604
32	 19	0.44712108
32	 20	0.47034
32	 21	0.47034
32	 22	0.47034
32	 23	0.47034
32	 24	0.47034
32	 25	0.47034
32	 26	0.47034
32	 27	0.47034
32	 28	0
32	 29	0
32	 30	0
32	 31	0
32	 32	0
32	 33	0
32	 34	0
33	 1	0.4040778
33	 2	0.48368859
33	 3	0.48824604
33	 4	0.48824604
33	 5	0.48824604
33	 6	0.48824604
33	 7	0.48824604
33	 8	0.48824604
33	 9	0.48824604
33	 10	0.48824604
33	 11	0.48824604
33	 12	0.48824604
33	 13	0.48824604
33	 14	0.48824604
33	 15	0.48824604
33	 16	0.48824604
33	 17	0.48824604
33	 18	0.48824604
33	 19	0.44712108
33	 20	0.47034
33	 21	0.47034
33	 22	0.47034
33	 23	0.47034
33	 24	0.47034
33	 25	0.47034
33	 26	0.47034
33	 27	0.47034
33	 28	0
33	 29	0
33	 30	0
33	 31	0
33	 32	0
33	 33	0
33	 34	0
34	 1	0.4040778
34	 2	0.48368859
34	 3	0.48824604
34	 4	0.48824604
34	 5	0.48824604
34	 6	0.48824604
34	 7	0.48824604
34	 8	0.48824604
34	 9	0.48824604
34	 10	0.48824604
34	 11	0.48824604
34	 12	0.48824604
34	 13	0.48824604
34	 14	0.48824604
34	 15	0.48824604
34	 16	0.48824604
34	 17	0.48824604
34	 18	0.48824604
34	 19	0.44712108
34	 20	0.47034
34	 21	0.47034
34	 22	0.47034
34	 23	0.47034
34	 24	0.47034
34	 25	0.47034
34	 26	0.47034
34	 27	0.47034
34	 28	0
34	 29	0
34	 30	0
34	 31	0
34	 32	0
34	 33	0
34	 34	0
